the_review,topics
"It's a soft click, which I like. Love the colors and I truly get about 2 weeks of using it as my work mouse.",mouse
"If you only need to use a mouse for no more than an hour, this might be okay. I bought 3: 1 for my office, 1 for my laptop bag, and 1 for home. They do not hold a charge.",mouse
love it,headphone
Automatically sets up.,headphone
"I bought this mouse recently for a new laptop I bought and it is perfect! The mouse is an extremely portable, wireless mouse. It actually feels very comfortable while using it. Theres no side buttons or extras on it, just a simple, portable mouse that cna connect via USB or with the included USB-C to USB adapter. I recommend this mouse because of the price and what you get for it!",mouse
Battery life lasts an exceptionally long time.,headphone
I would definitely buy this again. I really enjoy this mouse.,mouse
"I like the overall design.  The slim profile and touch is good and the clicks are responsive.Where I'm struggling with this mouse is that as I'm trying to work, there is lag and the mouse will then jump around on the screen.  Also, trying to hold and highlight a group of text, for some reason it loses connection.  what I've ended up having to do is clicking on my document and then using my Shift+Arrow Keys to highlight the text that I need.For general web browsing, this mouse isn't bad.  For productivity, it's not really working for me and i'm going to go back to my wired mouse.",mouse
Love this mouse. Work excellent!!,mouse
did not work with my older dell computer,mouse
"Lightweight, comfortable, and cool with the lights. Rechargable is a major plus",mouse
Hi love it but I bought it because it changed colors and it only stays on red.,mouse
"This is a great mouse to have if you are trying to have a mouse that can be used on a type c only device while keeping the option of normal USB open. I love having it light up and it's cool thing to have in my office. If you want to use the type c port. It will need to be attached via adapter. The adapter will stick out unfortunately so be careful as you can damage the adapter. It does have a slot so you can install the dongle (not the adapter) to the mouse itself. The default plug is just a normal USB port. The mouse feels pretty nice. It does feels pretty smooth. There is no real lag or drifting with this mouse. It does have a built in battery which is super nice. You are able to just recharge the mouse by plugging it directly into your laptop via micro USB. I was able to use it for quite some time before the battery died and initial charging only took a about 4 hours. It does have a sleep mode from what I can tell to save battery life when you are not using it but it does have an ON and OFF button if you need it. The mouse moves pretty well across most surfaces and clicking is pretty responsive. Im not a gamer,, so can't give any recommendations on that.. The LED light works pretty well with the color. You can adjust the color via the center button. The bottom has pads but they are not the soft silicone like pads. It feels like a hard material. This is a plug in play and works great with mac and PC. It does not look like it has a way of adjusting the DPI but it has a pretty good default DPI already so I do not see the need to adjust it. Overall I think this is a great mouse.",mouse
I purchased the same mouse that my granddaughter enjoys.  It works smoothly and is a pleasure to use.  It will provide ease and a more enjoyable computer experience.,mouse
"Great mouse, especially for the price. The LED lights are awesome!!! Works perfect, and easily connects to your device!!",headphone
This needs to charge very often. I wish I knew that before purchasing.,keyboard_speakers
Great wireless louse. Easy to connect and the charges lasts all day,mouse
Works great. Highly recommend this product. Nothing to dislike.,headphone
"the mouse works great except the right button doesn't always copy paste on various web pages. After receiving the new mouse, the problem is the web page design because the same problem occurs. I tried a different brand mouse with the same result.",mouse
It’s a simple yet sleek looking mouse. I’ve been using it for almost a month and have no concerns about it. I recommend it.,mouse
I like the way it handles while moving it.  I think it is a little small for a big hand.  It is cute and colorful.  I have not played any games with it yet but I am sure it will be quick and smooth.,mouse
"I love that I do not need batteries !! It recharges fairly quick !!Slim design , fits my had perfectly !! I also love I can turn it off !!",mouse
I like this mouse but the battery literally died in a day.  Charging it now see how long that takes.  I say 50/50,mouse
"Love how quiet the mouse is, love that it came with an adapter for usb-c, love the recharging capabilities, very nice feel in the hand!One thing is, i wish i would have gotten the color that i wanted. I wanted Silver but got Gray. :/",mouse
Great mouse like the colors and sleekness. Also rechargeable!,mouse
Feels very cheap and performs cheap too. both sides stick together when wanting to use just the left side button but they both go down and pop wen going back up. difficult to click on just a single item!,mouse
"Worked fine at first, about a month in and now it gets glitchy for no reason. Flat design makes for poor support of hand. Not for gaming.",mouse
"Sleek,  nice and holds charge for a long time.  Definitely recommend.",mouse
Love it!,headphone
"Easy, light, inexpensive , quiet and perfect for my new Mac laptop !!",mouse
"I read the reviews and ordered two.  One for home, one for office.  They both worked great for about 2.5 weeks.  I started having trouble with the charge not lasting.  And then by the time my return window expired, they were both worthless.  I can still plug in and the lights are pretty, perhaps a very weak night light?  That is what the star is for, the pretty lights.",mouse
"When I received this item it was thin, which is okay but it was also chipped off on the left side. Then, I simple drop and the mouse damn near shattered! And to stop it off, sometimes the cursor goes everywhere, which can be annoying when you’re working on particular items. I love it for the lights and how compact it is. Handle this item with care!",mouse
"I actually really love this mouse, its slim and quiet.  The multicolored led lights stopped working after 4 days, but it does not affect the quality of it..just a bummer they dont work anymore.",mouse
"Low profile, feels good in the hand, responsive",mouse
Constantly had to charge. Cool light effects came at a cost. I ended up going to target and buying a $5 one that works much better and is battery operated.,mouse
Looks great. Comfortable in my hand,headphone
Didnt last long,keyboard_speakers
"Mouse works, LGB died almost immediately. The only color actively working on this mouse is the red led and the blue when charging. When the mouse is left idle for a minute or two, it seems to desync and takes a minute to ""wake up"". It gets in the way more often than not. Otherwise, okay product.",mouse
The USB broke off in my computer and I had trouble removing it. I finally got it out with finger nail clippers. I was happy with it until this happened.,mouse
"The usb charging port was bent & I had to bend back before I could even plug it in to use.  Amazon needs to start labeling the country of origin, I don’t want to support a country that suppresses its people & destroyed a democracy in Hong Kong.  Made in China 🇨🇳 junk.",mouse
"....and differently from the Alienware, I saved about 90 dollars.Love the fact you can switch the LEDs off to save battery, also good battery is rechargeable (although in about 3 weeks I never had to charge it yet) good quality and fun to use.Also awfully cheap, which is always a plus!Not sure if is a good match for gaming, I've used it in the new MS flight simulator and I must say the response was fine...Not sure though if it would be fast enough for the ""kill 'em all"" gamesTotally recommended.",mouse
"Okay, here we go..  I was really excited to get this and try it out. I want to note that I wasn't expecting much since it is pretty inexpensive; however, my excitement didn't last long. The dpi will not change on the one I got, so I changed my mouse settings on my PC. This very, VERY minimally helped. -I couldn't help but laugh while doing this because that curser is sliiiiiiiic......ccccck!For some, this may fit comfortably in their hand, but not mine. Also, it goes to ""sleep"" QUICKLY - as in 5.6 seconds quick. Yes, I timed it.Unfortunately, I'll have to try to return this since I won't use it... ever. By ""try to return it,"" I mean try to actually remember to take it to the post office (or wherever I need to take it) because that never actually happens.In closing, if you have small hands, you're looking for a super slick (meaning super fast) mouse that you may or may not be able to change the dpi, you'll only use it once... maybe twice a year, and you're good at taking your returns where they need to go to get returned, then go for it! Otherwise, maybe look into a different one. Also, I gave 2 stars since is was inexpensive.",mouse
This was a great mouse for schoolwork and better then using a battery mouse,mouse
I really like this mouse. Super easy to connect and the charge lasts forever. I swear I charge it once every 1.5 weeks and I leave it on by accident all the time but the sleep mode is great. I recommend!,mouse
I honestly got this product not so long ago and I can’t really speak about the durability but I wasn’t disappointed with my purchase. The battery last for a very long time and the light it just beautiful.,headphone
Works excellent. I prefer this mouse over the apple one.,mouse
"Perfect! Just what I needed. Love that I can use with my Mac and PC. Mouse is smooth, fast, and accurate.",mouse
" Pretty and sleek. I just opened it, says to charge for 2 hours with USB cable in box.... Umm what cable? Luckily I have plenty of chargers so once I use it, I shall update review.Update, works as it should, love the color changing. No complaint.",mouse
Works very well. Best part is charging the mouse through power chord rather than batteries.,mouse
"Garbage, bought my niece a new HP for college, plugging the usb in laptop mouse cause the laptop not to work, mouse moves really slow or don’t move at all, thinking it was the laptop, took the laptop back got a brand new one same issue, but when I took the Ian out and used my store bough (Best Buy) mouse works perfect no problems. Be careful with this mouse and plugging it into your laptops.",mouse
"Cord gets super hot when trying to charge using my lap top, and not charging",mouse
"For work , kids love the colors",mouse
Excellent thin size. I prefer this new wireless for its thinness and rechargeability.,mouse
"Battery dies very quickly. Not impressed. Sellers keep harassing me to delete my review! No way, scammers!Buy the below mouse instead. It works great!WisFox 2.4G Wireless Mouse for Laptop, Ergonomic ... https://www.amazon.com/dp/B07Y1KKFBH/ref=cm_sw_r_sms_api_glt_fabc_4GP5QM8PZ805Q7RQZ7QW?_encoding=UTF8&psc=1",mouse
"I love the feel of this mouse. It is comfortable, easy to set up, rechargeable, wireless and the lights are so pretty! Fast shipping and quality packaging. Would highly recommend.",mouse
"Love it, great value",headphone
"I don't use it for gaming that's why I give it three stars for that, haven't used sleep mode and don't plan on it so I gave it three stars not using that either. The three stars for ergonomics is accurate because it could be a little bit taller and we both have tiny hands, will be small for someone with large hands for sure. The colors are nice, Price is Right oh, and we like how it changes colors. I would buy again, adapter that comes with are very convenient, and worth the money I paid just for the adapters.",mouse
Functional mouse but it is hard to click with fingers - extra effort needed which is not good.  I probably won’t buy this again.,mouse
excelente,mouse
"Fun mouse for my office! I enjoy it and it’s fun to watch the colors change. A coworker liked it also an plans to purchase one also. I sent her the information. Highly recommend, thank you.",mouse
This mouse is awesome. The lights are fun and I have owned it 2 weeks and only charged it once and I use it daily,mouse
Inexpensive!! Love the changing of colored lights,mouse
"I really liked this mouse, but the battery runs out every few days. I wish the lights would automatically turn off after not being used for a few minutes.",mouse
"Great product so far. Cool lights. Also, not battery operated, charged with usb cord.",mouse
Good mouse for the price and the buttons do not make noise so it feels nice when clicking which is a win for me,mouse
Yes,keyboard_speakers
It is super comfy and I love the lights around it. Small enough for my hands.Highly recommend this mouse.,mouse
Good mouse.  Holds good charge. Perfect for gaming.,headphone
I really needed a mouse because it is so much easier when working from my laptop. I searched on Amazon and came across this vibrant mouse. I fell in love and decided to buy it. It was the best decision because this mouse is fantastic and works perfectly. I love the color variations and the sleek look. It is easy to setup/use and also easy to charge. It is also wireless which makes it even better.,mouse
"This mouse is light and fits in my hand well.  It's fun to watch the colors slowly change.  However, it does not stayed charged long at all and cannot be used while it is charging.",mouse
Works great charges fast with cool lighting,mouse
Mouse is really good for the price. smooth and easy to use. Also the RBG lighting looks perfect with my setup!,headphone
"A well-engineered mouse with long battery life, good design, and cutting-edge wireless connectivity. Very easy to set up and use. Recommended!",headphone
"This is a very good, sleek and easy to use mouse, I really like the colored lights, the charge lasts a long time. I have no cons and I would buy again. I use this wireless mouse with my Dell 5490 All In One.",mouse
I use a laptop everyday at work and this was a life saver. Very comfortable reliable wireless mouse.,mouse
Love this mouse and it stays charged for quite awhile,mouse
"I bought this because of the lights and it looked cool, but it does not have a battery.  It needs to be plugged in to charge.  Unless you babysit it by always turning it off when you are done using it, the charge dies after 2 days and then you have a dead mouse, or one that is now 'wired' as it charges.  Too high maintenance for a mouse.",mouse
I liked using this mouse but it needed charged a lot more than anticipated. It looks good and worked good but overall was a little too cheaply made and it didn’t last long. It fell (thanks to my small children) and cracked right open. I only got to use it a couple of months.,mouse
"Very nice smooth feel, fun LED shifting color. Love the silent click feature.",mouse
"Replaced my boring mouse with this one, wanted something rgb and rechargeable. Love it so far!!!",mouse
"EASY TO USE! It took less than 30 second to install. It comes with a C charger connecter I didn't need to use it. Take the piece from under the mouse and put it directly in the computer, turn mouse on and use. Real comfortable to my hand, sleek, bright colors,and just a cool accessory to my workspace.",mouse
I love the light weight fee to this mouse. But unfortunately it doesn’t hold a charge to be able to use it.,mouse
Works well easy to use stays charged for a long time. Connects easily definitely a good buy for the price,headphone
I love how the mouse changed colors and the set up was easy just plug and go. The charging was easy as well,mouse
I purchased this mouse because I needed a new one for my work from home station. I came across this mouse and read some of the reviews and thought I would take a chance on it. It has turned out to be one of the best things I have purchased from Amazon! It is such a smooth operating mouse and the color displays on it are really fun! I definitely recommend this product to anyone who is in search of a wireless mouse.!,mouse
The mouse was surprisingly lightweight. I am accustomed to the wireless mice that are battery powered and it makes a huge difference. It is super sensitive too. I was able to use it on fabric and on wood directly without issue. My old mouse required a mouse pad. The lights can be left on or turned off but you still see the red glow of the sensor when lights are turned off. The USB receiver was easily found underneath. It was a bit difficult to pull out but using my nails it came out pretty quick. It also comes with the USB c adapter which you don't see often but I believe it would work with a Chromebook? or maybe with a USB c charger? It has everything I need and it is crazy how lightweight this thing is!,mouse
"I really like this mouse, I just wish I had a way to know what the battery was at or when it is getting low.",mouse
The shape is great and the charge really last. unfortunately after 3 months of use the USB connector has stopped working and the USB charger does not connect to the computer it only charges,mouse
exactly what i thought it was gonna be! i use this at work and although the sleep mode can be annoying it does it’s job!,mouse
Liked the sleek design and that it lights up ☺️,mouse
That it is rechargeable and slim and good buttons make it super,mouse
Super cute and so easy to use! I love that it’s so slim too!,mouse
"Good enough for the price, but very awkward to handle. Middle mouse button is hard to push and often doesn't actually get pushed despite making the sound.",keyboard_speakers
"Worked right out of the packaging, cute, inexpensive",mouse
"I recently picked up a new computer and needed a new mouse - one that would fit the bill for my work editing video. It needed to be light, ergonomic and move well with sensitivity. I also work in low light and the LED light on the mouse is a nice touch. The LED is certainly not an essential feature, but it definitely adds a nice look to the product, and for me is very appealing. This mouse has been great all around. I recommend this product.Edit: Initially I loved this mouse, however its ability to maintain a charge dramatically decreased in short order. It can no longer keep a charge for more than an hour or so. The mouse has essentially become useless. This is quite a disappointment after initially enjoying the other qualities of this mouse.",mouse
"This mouse works like a charm, it is beautiful. The changing colors are fantastically fun!  This fits nicely in my backpack for use with my laptop.",mouse
"Awesome and cool, the color turns red when it's time to plug in and recharge.",mouse
"I love how you don't need a battery , just recharge it! Great and colorfull!",mouse
Great wireless mouse.  The instructions were easy to follow.  The only thing I wish it did was glow red when it needs recharging.  I will probably purchase another one when this one dies.,mouse
Love how it looks and feels but out the box it was really glitchy. I charged it and saw that it was still sticking a bit as I was using it. Since it's a mouse the one thing it should do is move smoothly ya know? I don't know if this was just this one mouse or it's how it runs. Either way it's really annoying when you're trying to get things done.,mouse
"I was looking to buy a portable mouse for travel, and was going to buy a regular battery one but saw this pop up as an option. I really like the mint green color. It’s affordable, easy to use, connects fast, and very low profile. The clicker is quiet too. Scroller works great as well. I charged it up connected via USB to my dock station and it was ready to go. Love it.",mouse
Used for daily use. Nice product,headphone
The mouse is light weight and I like the colors. It is also smooth and charge lasts for a while. However I just bought it in May and today in August the usb broke off in the usb port of my computer. The metal part detached from the plastic part. Disappointed.,mouse
"Very glitch-y.  Curser tracking is not smooth at all.  Silent buttons are almost too sensitive and frequently ""click"" when I'm not meaning to do so.I threw out this item after only 3 days.",mouse
"Gorgeous and very affordable. The battery doesn't last very long, but it's easy to charge while using.",mouse
"I was so happy with this mouse when I first got it. Very comfortable, loved the light and most of all the wireless feature. The love affair however was short-lived. After using the mouse for only 2 months it stopped working. I would charge it, it would run for 5 minutes then dead again. It got to the point that the only way the mouse would work is if I kept it plugged - therefore defeating the wireless feature.",mouse
"This mouse was purchased for use with my laptop. I've purchased two of the same brand previously, but wanted something different so I took a chance on this unknown. The mouse is light, and ergonomic - I have a fairly small hand and it fits well. Connection was simple. The sleep mode will definitely increase battery life. Add to this the pretty lights, and lovely rose color...I'm pleasantly surprised! I would recommend this mouse to anyone who wants an inexpensive, and uncomplicated, addition to their setup.",mouse
Size is just right for me,keyboard_speakers
"I like that it recharges and doesn't require batteries.  It doesn't last that long though.  but seems to recharge good enough after only being plugged in for even 5 minutes.  I wish it came with a longer charge cord since you could then use also with charging cable plugged in  ( still can, but very short cord)",mouse
No batteries needed. This works great and it lites up too. Easy to charge and use. No problems at all.,mouse
"Works great, no issues",headphone
Love that its rechargeable!! Purchased for work computer functions exactly as desired.,mouse
"The product fits well in my hand and has a quiet click but it keeps on cutting out. I will walk away for a minute and the mouse does not work anymore so I have to unplug it, turn it off, then back on and replug it in.",mouse
I travel for work so this wireless mouse is perfect. It’s small for packing away and the sleep mode keeps it going longer. I charge it about every 2-3 days.,mouse
Another lowest bidder production,mouse
Amazing little mouse,mouse
"Like it very much! Great price, great performance and cute too!",headphone
Great item and came so quick. Thank you :),headphone
Ready to handle,keyboard_speakers
Fun little mouse. Doesn’t feel overly sturdy but cute. Lites are fun.,mouse
"Small, rechargeable and works perfectly.",mouse
It works great! I love it! My son uses it aswell for roblox,headphone
"The color wasn’t like the photo. It’s a bit darker than what I was expecting (see photo for reference). I did love that the mouse came with a USB to USB-C adapter. The part that connects to the computer for wireless capabilities was “stuck” so I had to use excessive force to remove it. Only other thing I could change is the LED colors. It goes through series of colors, but it would be fun to be able to choose what color it could be.",mouse
 I love the fact that this thing is quiet as a mouse(Lol).  I hate the clicking sound on other mouses.  The other thing I love is that it's rechargeable! No batteries.  The only con I could find is that it is not an ergonomic mouse.  That's the only reason why I gave it 4 stars.,mouse
IT TAKES AS MUCH TIME TO CHARGE THE MOUSE AS TO USE IT.  NOT PRACTICAL.  OTHERWISE THE MOUSE WORKSand it is  ERGONOMICAL,mouse
"The mouse is comfortable to move. It goes to sleep while in a Zoom/Teams call, however easily wakes up with one click.",mouse
 Love it plug in and go works on my work computer with no problem will purchase from them again,mouse
"Quite, cute and very portable",mouse
"I was looking for a mouse to replace my old wireless one with which the scroll wheel wasnt working anymore and found this one.  I am pleasantly surprised by this mouse.  The click is very quiet yet there is a satisfying tactile feel to it, though the right click can be a bit sensitive but nothing too major. I think the best feature of this mouse is that it is rechargeable.  Very convenient.  The mouse can be used while charging and only took about 1.5 hours to fully charge.  There is a led indicator that turns off to show when the mouse is done charging.  The mouse will also go into sleep mode after 10 minutes of inactivity to save power.  Overall, great mouse.",mouse
"I researched Amazon for a wireless mouse and found this one.  I bought it to use with a new laptop.  It works great.  It is responsive, easy to use and saves me time tinkering with the laptops built in mouse.  Another plus is no more batteries to buy.  Happy to have this.",mouse
" It's not working after setting up to my laptop , but the colors do show up.... I tried to take out the USB and plugging it back again but it doesn't seem to work.",mouse
Slim and fits comfortably in palm of hand.  I wish that I would have purchased sooner!,mouse
My son loves it but the instructions are very scary.,headphone
"Great mouse overall. Very light weight and soundless. LED lights on the mouse work well, too.",mouse
Colorful,mouse
Doesn’t stay charged long enough for me.,mouse
Works great but I don’t like the lights going on when I turn came computer on but does not go off when shutting down,mouse
"Great mouse, setup was a breeze, cool rgb changing colors. Long lasting battery!",mouse
It’s really nice and cute mouse. So light and handy.The charging battery it’s really useful,mouse
The clicks are nice and quiet. The lights are pretty. The battery lasts a long time. It's very simple plug and play.,mouse
"Nice and light, slight hesitation on click.",mouse
Product is responsive. The colors are cool. Easy to recharge. So far pleased with purchase. Using for work and not gaming.,mouse
"Tried on multiple surface and no matter what i do, the pointer is erratic.  It also NEVER goes into sleep mode.  If you fail to turn it off, you will run through the battery in a day.  Awful.  Tried to click on the seller name in an effort to contact them directly, but it was grayed out.  Very disappointed.",mouse
It's cool and colorful! I love it!!,mouse
Very nice! I bought 2 love it!,headphone
"Smooth, wakes with a click and best of all no batteries.  Holds charge all day with constant use",mouse
This mouse does seem to let you pick a color and the same is not comfortable.,mouse
This mouse is quite comfortable and silent. Recommended! :),mouse
"I love this mouse, it's so silent and smooth to the touch.",mouse
The cursor skips all over the place; you have no idea what you're clicking. This mouse is now in my garbage.Buy a different mouse.,mouse
"Very cheaply made. It was the biggest waste of my money. The piece that plugs into the USB port broke in a weeks time as I was taking it out of the port. It can be glued back together but it would have to be done with precision and carefulness not to get glue all over it. I dont know that its worth it. I guess this is one of those things that its just better off going with the brand you trust and paying that little bit extra for something you know is not going to come apart because it was poorly constructed.It was pretty cool how it lights up. It is very lightweight as well, which I will leave that to your own interpretation.",mouse
I use it plugged in as the battery life is ok but not amazing... but does what it’s supposed to do.. great addition to my workspace and very comfortable on the hand,mouse
I like the fact that it's micro USB instead of swapping AAA battery and it's very light weight and soft and easy to use,mouse
Very satisfying to use and look at but after a couple months the scroll wheel started being super rough and squeaky. Good value though.,headphone
Very happy and true to its description.,mouse
WORTH OF PURCHASE !!!,headphone
Great product and very happy with my purchase. Quiet buttons when pressed and love the different color lights.,mouse
"Product worked great for 1st 3 months, now the USB charging port is bad and since it's a rechargable mouse it's useless now. Led lights were cool and the mouse felt great ergonomically with soft quiet clicks. Being optical vs laser, it isn't for gaming and battery wouldn't last all day clicking. It also went into sleep mode too quickly and having to click without knowing where the arrow to turn it on turned into a hassle.",mouse
"easy to use, lightweight and comfortable to the hand...",mouse
Easy to use with a sleek design.,mouse
"Extremely comfortable, works great, looks gorgeous, and is rechargeable. Charges quickly and easily and the battery lasts a long time.",headphone
The mouse is very cute and i love the colors and the way it lights up. I went to use it one day and it was out of charge (I charged it). I doubt this will last long. It was $15 but really worth about  $5.,mouse
"Battery last forever!  I accidently left it on over the weekend and still didn't need to charge it until Tuesday.  it did take some getting used to the power save function, you need to click to wake it up.",mouse
Satisfied,keyboard_speakers
"I have already ordered the black one and liked it so much, I orderer another one for my laptop!",mouse
"The device looks and feels good.  The left clicker is very sensitive and mandates that under normal use you keep your hand off of the top of the mouse on the left side or you will accidently left click.  The coloring is good looking, but it is difficult to determine when you need to recharge.  the short charging cord connects to the computer, so you must leave the computer on while recharging the mouse, which is inconvenient.  but the control of the curser is good, although occasionally it seems to ""jump"" to a different place on the screen...still not sure why that happens.  But it is decent value for the money once you teach yourself it's ""quirks.""",mouse
As described,headphone
I read a lot of the reviews before I decide to buy this item.  So far I have no regrets. People complain about the mouse turning off and the lights being on.  So when I got the mouse noticed that there was an off button for the lights. If you think about it you are saving power when your not using it.  I would recommend the product.,mouse
good mouse,mouse
No complaint!,keyboard_speakers
Actually changed my mind on this mouse. The one I was using was driving me crazy because the clicking was so loud. I broke this one out of the box and it's pretty cool. It changes colors and it's silent. I can work with the size being slimer.,mouse
It charged up the first time and didn’t charge up again after that. And the replacement batteries for it cost more than the mouse itself. Very cool looking tho.,mouse
"This is the first mouse I have bought for my new PC, probably the best purchase I have made for my PC. It's great to use anywhere, it's so quiet and smooth looking, It fits in the palm of my hand nicely, the colors are a bit off but great for how cheap it was! I really like that It was cheap too, but it wasn't cheaply made or seemed like it. I 9/10 recommend! It was a bit trickcy to figure out how to connect it to my PC, I do have both USBC and USB on here but keep in mind that if you have a USB PC you will have to take out the connecter in the mouse, its hard to get it out of though! DO SAVE THE BOX FOR THE USBC CONNECTOR AND CHARGER!",mouse
works well,headphone
I like the compact shape and the changing light bar around it.,mouse
I really love this mouse. I bought it for my office to get rid of the cords. The colors are nice and I like that it goes to sleep when not in use. I've gotten many compliments on it.,mouse
Looks & feels great! Love all the colors!,headphone
"I really like the feel and look of this mouse. I love the matte feel, and the lights. Its also very quiet and not clicky, I wasn't expecting that for the price!The only issue I have is that if you use it with a laptop and remove the receiver often, the receiver will come apart. Im not techy enough to figure out how to make it stay together (with glue??, idk) whenever I take it out, the USB drive and the black part separate, and its hard to take the drive out of my computer when that happens. Frustrating. Will say that it lasted a couple months before that happened though.. if you use it with a pc and never remove it,, itll last longer.. i just wish I could get a replacement receiver; I don't want to throw the mouse away if the receiver is the only issue with it. I got it in February 2021 and I noticed that it glitches a bit if its not on a mouse pad or about to die, which can be annoying but manageable;the mouse charges very quickly!",mouse
"I really like this item, it is a lot better than the other ones I was using, great for gaming, charges quickly and easy to get started with and It fits my small hand perfectly. Would definitely recommend this product.",mouse
"I absolutely love this mouse! Super handy dandy because not only does it work with my Mac it also works with my work laptop which is a dell. The only thing I don’t like about it is that if you don’t use it for a while, it shuts off. I mean it’s great because it saves energy so you don’t have to charge it often but meh. I’ve yet to charge it again. I used it for 2 days for at least 10 hours each day.",mouse
Clicking the right and left stick and it's is slow to catch click. Cheap yes but as they say you get what you pay for. Cute yes.. but not worth the frustration.,mouse
"This is the best wireless mouse I've ever used.  The flat profile keeps my arthritic hand from getting stiff and sore after long use.  The colors are subtle enough to be fun but not intrusive.  If you plan to use it with a desktop computer, be aware that the charging cord is very short, so using the mouse while charging may be a problem.  I use it with a laptop, where this is not an obstacle.  The mouse appears very well made and sturdy.",mouse
"Works good for a child, not  for people with arthritis",headphone
Very cool design thanks,mouse
"It's light and the texture is nice but there are a few flaws. The mouse can tilt forward lifting the back off the table since there's a lot of surface area past where it touches the surface of the table. The mouse is small, which is nice for portability, but for my hand size it gets uncomfortable after a while. The battery charge is good and the lights aren't too harsh. But by far the most annoying flaw is that it doesn't maintain a constant mouse button press. So if you have to hold and drag something, it will just randomly unclick even though you still have the button pressed. I tested this a lot and it always, without fail stops holding down on the computer. This is unplayable for some games where you have to hold down one of your mouse buttons. Perhaps I just received a faulty mouse, but for the price it's hard to complain too much.",mouse
Absolutely amazing product! I cant get use it enough especially with the color light feature. The scroll bar is very smooth and the mouse itself fits perfectly in your hand. Not to mention there is no batteries required since it it rechargeable. Definitely worth a 5 star rating.,mouse
THIS THING IS SO SMOOTH AND SO AWESOME! Highly recommend!,headphone
"First the price is very affordable, it’s light weight and it works very well. The perfect part is it doesn’t make any sound. Love the product. I am very satisfied",headphone
"This mouse is ergonomic, light weight, and very easy to use. Unfortunately the color shown in the picture for rose gold was not very accurate, it is much darker. I would still buy it again though.",mouse
"I bought this for my daughter and initially she said she loved it.  Then, she stopped using it and went back to her old mouse.  I left my mouse at work and borrowed this one.  Now I know why she doesn’t use it.  It constantly disconnects and I have to turn it on and off to get it to work.  Then, it randomly tracks on the screen when I am not moving it...it seems like someone else is controlling my computer.  Unsettling.  This mouse is junk...very pretty junk.",mouse
 This is so cute. I love how it changes colors. It is small but not too small.,mouse
This was such a great buy. Way better than my microsoft mouse. I'm soooo happy I bought this. The light features are really nifty. I haven't really touched it but I'm just so impressed with now smooth it works on surfaces and on the computer. I'm in love,mouse
Works good for a laptop,headphone
Love how lightweight it is. Just a light tap to right and left click. Mouse tracks greats and the led lights are cute plus it’s pink and priced super! I brought this one for my work PC and I’m buying a second one for my MacBook ...  💕,mouse
Perfect fit to my hand and matches my headphones!!,headphone
It is just ok product for me. It could be more finished product but its not. Sometime it seems like its not clicking at all. Lights are good but for performance i give it three stars.,mouse
"Very good, come back if need to",mouse
This mouse is amazing its super quiet when clicking and it runs smooth even on bed sheets. It works on any surface!,mouse
Perfect low profile for me. Not sure how long the charge will last with the LED's on but you can switch them off.For the price nothing to complain about. Thanks,mouse
Very nice Mouse. Well designed and nice colors. Functioning well.I am satisfied with it.,mouse
I am pleasantly pleased with this mouse. It’s attractive looking and works very well. It comes with a USB C adapter along with the charging cable in case you need one. Plug and play actually worked. No complaints about this mouse and would purchase again if I need an additional one.,mouse
This mouse works well for my needs and fits in my (medium-sized) hands well. This is the first mouse I've ever owned with a built-in rechargeable battery and now I don't ever want to own one without it. The small form factor is also nice for packing up and taking on the go. Another nicely designed element is that the nano-receiver tucks into the bottom of the mouse and doesn't require prying off a cover or any extra effort to remove or insert.,mouse
"I love this color-changing wireless mouse!! I’m a colorful person, so I recognize colors before recognizing plain black and white. As an educator, my office is colorful, and my classroom was colorful too!! LOVE IT!!!!",mouse
I love this mouse. It’s VERY smooth. If I had one complaint it would be that it will be dead in the morning if you don’t plug it up before you leave work. But sometimes I just forget to plug it up when I leave so that’s my fault.,mouse
Good mouse. Started has a silent click. But has gotten louder. It works great other than that.,mouse
Works perfect. Connects easy. Long rechargeable battery,mouse
"I have been using this mouse for about a month, it had been working perfectly. I only use it occassionally throughout the day. After about a month it stopped working while it was on the color changing mode. It still works while on the regular red light mode, but now not the color changing mode.",mouse
"Bought for my 6th grader to use in school with her laptop on a daily basis.  She’s used this for quite sometime now with no issues, and she’s very rough on her things.",mouse
Great product!! Would highly recommend!,headphone
"I gave it two stars because I like glowing lights (can you tell I’m a child of the 80s?); if I could give it zero stars for function, I would. This mouse has a lot of good reviews - maybe mine is a fluke. It is, however, fairly horrible. The charge on the battery is extraordinarily short-lived and when charged, it sort of sucks then too.",mouse
"mouse is tiny in my hand, scroll wheel broke within the first week, USB plug is terrible..the worst ive ever had to deal with. Upon trying to remove the wireless USB plug from any any the top half come out but the metal part stays stuck in the plug, this has happened repeatedlyI just bought a different mouse",mouse
Love it for my work from home job very ergonomic and smooth.,mouse
Ergonomic and nice,mouse
"Originally liked the idea of not having to use batteries. Tried using this mouse for about a week. When finished using it, I forgot to plug it in. So the next time I tried to use it, the power was zapped. That pretty much defeats the purpose of having a cordless mouse. With no power, had to use it when plugged into my laptop. Sent it back and got a mouse that requires on battery.",mouse
Works great,headphone
"It's an ultra slim design, power saving and easy to use. Ergonomic design, high precision and silent click.",mouse
Wasn't terrible but I prefer gaming mice with at least the two buttons on the side,mouse
 Love it,headphone
