review_title,review_title_length,the_review,the_review_length,review_score,year,month,month_name,day
Great product!,2,"UPDATE: I have been sent 4 emails from the seller begging me to change my review, 2 of the emails offered me $40 to do so. This explains the positive reviews despite the terrible product.the mouse freezes constantly. left and right click will work but the mouse will not move. this is the worst mouse i've ever had. it also goes into sleep mode after 10 minutes of not being used, which is annoying and no way to turn it off. the light also stays on while in sleep mode which doesn't make sense. the charge doesn't last very long at all, charging it every couple of days.",108,5.0,2021,06,June,27
Works with Ease,3,I like this for school,5,5.0,2021,06,June,27
Super Awesome Mouse,3,It stopped working after about 2 weeks even after being fully charged.,12,5.0,2021,06,June,27
Needs to Charge,3, I just live my cordless keyboard and mouse. They match my HP desktop computer perfectly.,15,3.0,2021,06,June,27
Durable,1,"The Good- looks nice and feels good in your hand. The Bad- the right click button is too sensitive, I'm constantly opening up the right click menu. The pointer freezes and I have to turn the mouse off and on to unfreeze it. The Ugly- I ordered a silver mouse and I got dark gray.",55,5.0,2021,06,June,27
Stopped working,2,"So for anyone wondering, charging it is easy. If you plug it and the light in the middle is blue, that means that it is not fully charged. The blue light will turn off after being fully charged. Mine arrived on Monday and on Wednesday it turned off. I plugged it in and took around 2.5 hours to charge it (the light turned off). The clicks are silent and is very comfortable to use. One thing I do not like is the ""scroller,"" which can be a little too hard (I tend to open many tabs at once, at work and while I am on Pinterest lol) but that's just me. Overall, is a nice mouse and I hope it can stay with me forever (this is my 4th mouse in less than a year).",135,1.0,2021,06,June,27
Great product,2,"This mouse is a perfect addition to your laptop. It is easy to set up, very affordable, and the ergonomic design reduces hand fatigue.",24,5.0,2021,06,June,27
right mouse button doesn't always work.,6,I needed an ultraslim mouse for my laptop and this one works great. My only complaint (if you can call it that) is its length. It would fit better in my carry case if it were shorter.,37,5.0,2021,06,June,27
Good and sleek mouse.,4, Awesome mouse is totally silent durable case feels completely comfortable in my hand.  Love the colors.,16,5.0,2021,06,June,27
Nice to the touch,4,"I like the simplicity and sleekness of this mouse, along with the changing colors. Everything works fine so far.",19,5.0,2021,06,June,27
Mouse,1,Mine doesn’t change color but it’s slim and works awesome,10,5.0,2021,06,June,26
Battery life is at best half of the stated life span,11,"I haven't had any issues at all using this mouse. It feels great, the silent clicks and LED lights add a really cool touch to it as well!",28,2.0,2021,06,June,26
In shock of how quiet this mouse is!!,8,It barely works. I went back to the mouse I was using when I bought this (which is on its last leg) and it works 10x better still. Skip this product.,31,5.0,2021,06,June,26
Great Mouse!,2,I like the fact that you can recharge this mouse.....I spend a fortune on batteries and was looking for something I could recharge and it works great...,27,5.0,2021,06,June,26
Not so good,3,"Came charged. Has an off, on, and then the color switch. Quiet quick. My favorite mode is that when it’s idle for a while it shuts down and you just click and it comes back to life. Exactly what I wanted. Easy USB charge. Hope it lasts me for a while!!",51,1.0,2021,06,June,25
Waste of money,3,"I bought two of these to use with our laptops. Both computers recognized them right away and we were able to use them easily. I like the variety of colors offered and the lower profile, so my hand doesn't cramp like it has with some other styles. The light up colors are fun. I think it was a good value for the money.",63,1.0,2021,06,June,25
GARBAGE,1,It's a nice little mouse - It's actually pretty high quality for how cheap it was,16,1.0,2021,06,June,25
Long lasting charge,3,Mouse does not hold charge.,5,5.0,2021,06,June,25
LED Wireless Mouse,3,"Unfortunately I had to return it. It's cute and true the color,  however, it does work for my laptop",19,5.0,2021,06,June,25
Fantastic deal,2,perfect,1,5.0,2021,06,June,24
Doesn't last,2,"THIS MOUSE IS NOT BLUETOOTH COMPATIBLE, USB ONLY",8,1.0,2021,06,June,24
Very thin and cracks easy!,5,Don’t waste your money. Stopped working after 2 days of use. Doesn’t hold a charger either.,16,3.0,2021,06,June,24
Nice office mouse,3,"It takes too long to wake up and the battery dies quickly.  The instructions were terrible.  I have no idea what the two ON settings are for as they are not addressed at all.  Seems to do what a basic mouse is supposed to do, but i would look elsewhere for a higher quality next time.",56,3.0,2021,06,June,24
Won't buy again,3,"Don’t buy this! I thought it would be convenient not to have to worry about replacing batteries, I was wrong! I used it one day and it hasn’t held a charge since! Huge waste of money!",36,3.0,2021,06,June,24
"Design is nice, but the mouse keeps jumping around",9,This mouse is really useful for my laptop and it was really easy to sey up. The style and color of the mouse really matches the description.,27,3.0,2021,06,June,24
Must have,2,My son uses the mouse for gaming on his MacBook Air.,11,5.0,2021,06,June,23
does not work with all machines,6,the wheel stopped working after 3 weeks,7,1.0,2021,06,June,23
Great investment,2,"Is easy to install, ergonomic and functional",7,5.0,2021,06,June,23
Short Life Span,3,Bad quality already broke USB stick stopped working,8,1.0,2021,06,June,23
"Okay Mouse, crappy LGB",4,"I purchased this wireless mouse to use with a laptop.  I purchased it on Amazon due to the slimness, color, and uniqueness.  I am exceptionally happy with the mouse and would recommend!",32,3.0,2021,06,June,23
BE gentle with the USB portion; it breaks easy. :(,10,I love this little mouse. It's so small and sleek and fits in my hand nicely it moves quickly I use several screens at work and it moves from 1 to another without any problem and it's fun that it lights up too.,43,1.0,2021,06,June,23
Would be great... if it worked,6,"Works well enough. Sleep mode is not great. It REALLY goes to sleep. And the charge does not hold for 7 days. But again, well works well enough. If you're looking for a kinda cool mouse, aesthetically, this will work. The gray is gorgeous.",44,3.0,2021,06,June,23
Perfect match with my Alienware Area 51,7,"Looks great, feels comfortable however when lifting the mouse, it would shoot the cursor all over the screen which can be frustrating when playing games or working on detailed spreadsheets.",30,5.0,2021,06,June,23
Not sure how this got so many 5-stars,8,"The major flaw with the mouse for me is that the battery life is almost nonexistent. It lasts only about 2 hours for me. I'm guessing the one I got may be defective because I need to have this plugged in all the time to make it usable. But I can't  work that way. Not factoring in the battery, everything else is great in comparison to other mice in this price range.",72,2.0,2021,06,June,23
A good mouse and easy to charge,7,Jusk ok Good quality,4,5.0,2021,06,June,23
Great mouse!!,2,Very nice mouse. Enjoy the colorful addition.,7,5.0,2021,06,June,23
I’m loving it,3,"I ordered silver and received black, not worth the time to return it but a bit disappointing. Quality/functions as expected",20,5.0,2021,06,June,23
Long battery life,3,Cool looking mouse and dazzling light colors!,7,5.0,2021,06,June,22
Mac or PC this mouse is alright with me!,9,"I was looking forward to not having to use batteries and not have to worry about wires. It was great at first and I really liked it ... then ... after about a week, the charge did not even last a day and then it quit even charging. Don't waste your money. The only silver lining is that I had used my reward points, so there was no out of pocket.",71,5.0,2021,06,June,22
First impression,2," Feels good in my hand and works well. The roller wheel works as a third button which is important for my work. Colors are pretty and you can turn the lights off so that's a bonus. It charges so no batteries and I'm loving that. The only issue I'm finding is that it goes to sleep very fast. If you wait to long to move it, you have to click the power like next to the roller wheel. Not a big deal just annoying sometimes. Overall I'm happy with it.",90,3.0,2021,06,June,22
Wireless Mouse,2,It came really fast. I got it in one day! It is really sleek and works really smooth. I chose my favorite color of course but I love all the colors the light goes through! I also really like that it has a button to keep the mouse on but turn off the light! And of course it is nice that you can charge it rather than use batteries. The other mouse I have have to use batteries so that was a major selling point for this one!,88,5.0,2021,06,June,22
Crap,1,This item was not compatible with my work laptop.  There was no way to connect for charging. The feel was great as it is whaIt I consider a low-rise for my hand and wrist.,34,1.0,2021,06,June,21
Charging cord gets hot,4,Works great. I would prefer if it would not light up like a rainbow.,14,1.0,2021,06,June,21
"Works as advertised, but----",4,Good mouse very smooth,4,3.0,2021,06,June,21
Easy to use lightweight,4,Works very well on any surface. Colors flow well. Well worth the money.,13,5.0,2021,06,June,21
Really good product.,3,"This mouse is AMAZING!!! It’s quiet, it lights up, it doesn’t die fast. I love it!!!",16,5.0,2021,06,June,21
Cute but inefficient,3,As soon as I took this out of the box I knew that I was probably going to be sending it back. It looks nice in the picture but it is a piece of cheap plastic. It felt so cheap that I just couldn't even use it I sent it right back.,52,1.0,2021,06,June,20
Scroll wheel loses function after 4 months.,7,"The design is beautiful, the led lights make the mouse look amazing specially in dark places. I love the fact that it doesn’t make a click sound, it charges very fast and it lasts very long! Great price for such a great product!",43,3.0,2021,06,June,20
Wireless and Rechargeable Mouse that lights up!,7,The mouse stopped working after 30 days!,7,5.0,2021,06,June,20
Love it,2,"I have had this mouse for all of 15 minutes and I am planning on returning it.Honestly it looks nice and I like that it's rechargable.However, it's easily one of the worst I've ever used (I've used probably 50 different models in my career alone). First, clicking the mouse requires much stronger force than any other mouse I've used and on top of that it's very inconsistent. Looking through the gaps where the LEDs show out of I can see the mechanical device which actuates the click is a tiny plastic arm. No chance that will lasts for an expected period of time.It seemed to have been packaged fine, so I don't believe it was damaged or DOA.Don't buy this.",120,5.0,2021,06,June,20
Helpful,1,It’s sleek and comfortable and the battery lasts forever once charged!!! It’s great! And it fits anywhere!,17,4.0,2021,06,June,20
Hard to click on the mouse,6,This is a great value mouse. I purchased it to go with my new laptop so I didn’t have to depend on the trackpad. The design is nice and colors are a great addition.,34,2.0,2021,06,June,19
Great mouse.,2,This mouse feels very smooth and lightweight.  Easy to use and one charge seems to last forever,17,5.0,2021,06,June,02
Excelente,1," I just needed a simple mouse for a desktop I only use for watching videos in my living room. Its super quiet and lightweight, no lag. I'm also using it for cricut designspace, with no issues.",36,5.0,2021,06,June,19
Great condition,2,It's light and lights up so nifty,7,5.0,2021,06,June,19
Didnt last long,3,Didn’t work after 2 days,5,1.0,2021,06,June,19
Cool mouse,2,"I needed a wireless mouse for my new laptop and found this to be a reasonable price.  It is a great design, usb dongle can mount under the mouse itself for travel so you don’t lose it, as it is very compact (which is really nice for a laptop).  Has two modes, one is “on” and the other mode is on with color.  It’s nice to have the option as to be able to save battery life.  The mouse clicks are silent which was a different experience for me, but it’s nice.  It does go into standby mode if not used to save battery and takes a couple seconds to “wake up” but to me this is better than killing the battery.  All in all this was a good purchase!",130,5.0,2021,06,June,19
Stays charged for a long time,6,"For the price this mouse is quite good. Top of the mouse is soft touch material. It is comfortable to use( not too big or small). I also like color of the  light that always changes while I am using the mouse. I am using this mouse for 3 months, my daughter have not broken it yet lol.",58,5.0,2021,06,June,19
Great for price,3,"This mouse feels great in your hands. You don't have to worry about it being difficult to click or scroll, as the placement of the buttons are all easy to use and find. It also really does light up in different colors. It also has a setting where you can turn off the light and still use the mouse. It is rechargeable through usb, and the battery seems to last a while. Overall, pretty good.",75,5.0,2021,06,June,18
"If you want lights, get a wired mouse.",8,"This mouse works very well and has a very long battery life, very happy with this purchase.",17,3.0,2021,06,June,18
Cool product,2,Works very well thanks.,4,5.0,2021,06,June,18
Good mouse,2,"It’s cute & pink & is just like the picture! It’s a really nice mouse, but I’m sad that it doesn’t work with my iPad. I put photos of the manual, and it says that mouse needs a USB-port to operate. I think that black USB goes into computer and communicates with the one beneath the mouse.",57,4.0,2021,06,June,18
Yes,1,"Mouse only worked half the time, then never held a charge.",11,5.0,2021,06,June,18
Cute and easy on my hand.,6,**Update**After using the mouse for around 4 days it just completely stopped working. The lights come on and it appears to charge but the buttons no longer work and the optical lens doesn't pick up any movement. Don't even bother with this. It's trash.Not a very reliable mouse.  After just a couple days of use it stops working intermittently which is frustrating. I wouldn't purchase again. That said it is a very quiet mouse with no audible click and it's a good size.,83,5.0,2021,06,June,18
Amazing Mouse,2,The mouse stopped working after only two months of using it. Pretty disappointing,13,5.0,2021,06,June,18
DO NOT BUY,3,"Style , Good, Long battery lifeSpeed . I love mine .",11,1.0,2021,06,June,17
Doesn't stay charged very long,5,"First and foremost, it is exaclty as stated. Works, charges, lights up, and connects to USB-C (dongle) out the box.It is exaclty what you are paying for. I am using it on a Samasung Galaxy Pro 360, expensive computer cheap mouse. It works perfectly.I do have two concerns. It's cheap, looks cheap, and the color looks to me as it will fade in time.Second, the dongle sticks out alot. Too much for my liking.That said, this computer doesn't need a mouse, I just wanted one for laziness purposes.The product is as stated, but cheap. Great for a college student or a travel mouse.",103,3.0,2021,06,June,17
Works great charges fast,4,"It's a soft click, which I like. Love the colors and I truly get about 2 weeks of using it as my work mouse.",24,5.0,2021,06,June,17
The best mouse on amazon,5,"If you only need to use a mouse for no more than an hour, this might be okay. I bought 3: 1 for my office, 1 for my laptop bag, and 1 for home. They do not hold a charge.",40,5.0,2021,06,June,17
Very good product,3,love it,2,5.0,2021,06,June,17
Great Wireless Mouse,3,Automatically sets up.,3,5.0,2021,06,June,16
Best for price,3,"I bought this mouse recently for a new laptop I bought and it is perfect! The mouse is an extremely portable, wireless mouse. It actually feels very comfortable while using it. Theres no side buttons or extras on it, just a simple, portable mouse that cna connect via USB or with the included USB-C to USB adapter. I recommend this mouse because of the price and what you get for it!",71,5.0,2021,06,June,16
Love it,2,Battery life lasts an exceptionally long time.,7,5.0,2021,06,June,16
High maintenance,2,Stopped working after 2 weeks. Would not buy again.,9,3.0,2021,06,June,16
Didn’t last long,3,"The features on this mouse are really good.  It worked well initially but after only 3 days, it wouldn't work anymore and ended up in the garbage.  I do not recommend buying this one.",34,2.0,2021,06,June,16
"Colorful, Smooth, Fun Mouse!",4,I would definitely buy this again. I really enjoy this mouse.,11,5.0,2021,06,June,16
Lights will die after a day!!!!!!!!!,6,"I like the overall design.  The slim profile and touch is good and the clicks are responsive.Where I'm struggling with this mouse is that as I'm trying to work, there is lag and the mouse will then jump around on the screen.  Also, trying to hold and highlight a group of text, for some reason it loses connection.  what I've ended up having to do is clicking on my document and then using my Shift+Arrow Keys to highlight the text that I need.For general web browsing, this mouse isn't bad.  For productivity, it's not really working for me and i'm going to go back to my wired mouse.",108,1.0,2021,06,June,09
Glitch-y piece of junk,4,Love this mouse. Work excellent!!,5,1.0,2021,06,June,09
Good value for price,4,did not work with my older dell computer,8,4.0,2021,06,June,09
Good while it lasted,4,"Lightweight, comfortable, and cool with the lights. Rechargable is a major plus",12,3.0,2021,06,June,09
Great design,2,I bought this mouse for work and it worked great the first month! However after a month it started working slower and slower and just stopped working. Not a good use of money.,33,4.0,2021,06,June,09
Great!!!!,1,Hi love it but I bought it because it changed colors and it only stays on red.,17,5.0,2022,06,June,04
Sub par Quality,3,"This is a great mouse to have if you are trying to have a mouse that can be used on a type c only device while keeping the option of normal USB open. I love having it light up and it's cool thing to have in my office. If you want to use the type c port. It will need to be attached via adapter. The adapter will stick out unfortunately so be careful as you can damage the adapter. It does have a slot so you can install the dongle (not the adapter) to the mouse itself. The default plug is just a normal USB port. The mouse feels pretty nice. It does feels pretty smooth. There is no real lag or drifting with this mouse. It does have a built in battery which is super nice. You are able to just recharge the mouse by plugging it directly into your laptop via micro USB. I was able to use it for quite some time before the battery died and initial charging only took a about 4 hours. It does have a sleep mode from what I can tell to save battery life when you are not using it but it does have an ON and OFF button if you need it. The mouse moves pretty well across most surfaces and clicking is pretty responsive. Im not a gamer,, so can't give any recommendations on that.. The LED light works pretty well with the color. You can adjust the color via the center button. The bottom has pads but they are not the soft silicone like pads. It feels like a hard material. This is a plug in play and works great with mac and PC. It does not look like it has a way of adjusting the DPI but it has a pretty good default DPI already so I do not see the need to adjust it. Overall I think this is a great mouse.",327,1.0,2021,06,June,15
GREAT DEAL,2,Bought on prime day for a great price. It was easy to sync to my laptop. Comfortable grip.  I have been using for a couple of days the charge lasted longer than expected. Functions wonderfully. I did not use it for gaming so I can not accurately rate that.,49,5.0,2021,06,June,15
Unfortunately unhappy,2,I purchased the same mouse that my granddaughter enjoys.  It works smoothly and is a pleasure to use.  It will provide ease and a more enjoyable computer experience.,28,1.0,2021,06,June,15
Great buy !,3,"Great mouse, especially for the price. The LED lights are awesome!!! Works perfect, and easily connects to your device!!",19,4.0,2021,06,June,15
Amazing,1,This needs to charge very often. I wish I knew that before purchasing.,13,5.0,2021,06,June,15
Great Product!,2,Great wireless louse. Easy to connect and the charges lasts all day,12,5.0,2021,06,June,14
Lightweight Easy to set up,5,Stopped working for no apparent reason,6,5.0,2021,06,June,14
Works great!,2,Works great. Highly recommend this product. Nothing to dislike.,9,5.0,2021,06,June,14
The charge last much longer than I thought,8,"the mouse works great except the right button doesn't always copy paste on various web pages. After receiving the new mouse, the problem is the web page design because the same problem occurs. I tried a different brand mouse with the same result.",43,3.0,2021,06,June,14
Love the Lights,3,It’s a simple yet sleek looking mouse. I’ve been using it for almost a month and have no concerns about it. I recommend it.,24,4.0,2021,06,June,14
Great pick.,2,I like the way it handles while moving it.  I think it is a little small for a big hand.  It is cute and colorful.  I have not played any games with it yet but I am sure it will be quick and smooth.,44,5.0,2021,06,June,13
Pretty and sleek,3,"I love that I do not need batteries !! It recharges fairly quick !!Slim design , fits my had perfectly !! I also love I can turn it off !!",30,4.0,2021,06,June,13
like it much,3,I like this mouse but the battery literally died in a day.  Charging it now see how long that takes.  I say 50/50,23,5.0,2021,06,June,13
Super cute!,2,Even with sleep mode the battery doesn’t last a full work day.,12,5.0,2021,06,June,13
Rating Zero- Arrived Broken,4,"Love how quiet the mouse is, love that it came with an adapter for usb-c, love the recharging capabilities, very nice feel in the hand!One thing is, i wish i would have gotten the color that i wanted. I wanted Silver but got Gray. :/",45,1.0,2021,06,June,13
Feels wierd in larger hands,5,Great mouse like the colors and sleekness. Also rechargeable!,9,4.0,2021,06,June,11
"Cute, comfortable, functional",3,Feels very cheap and performs cheap too. both sides stick together when wanting to use just the left side button but they both go down and pop wen going back up. difficult to click on just a single item!,39,5.0,2021,06,June,11
"Sadly, I can no longer recommend this mouse",8,"Worked fine at first, about a month in and now it gets glitchy for no reason. Flat design makes for poor support of hand. Not for gaming.",27,2.0,2021,06,June,11
Sleek and FUN,3,Used this mouse twice. Went to use it a third time and it was completely dead. The led’s were still working but the mouse light underneath flickers then shuts off after being turned on. Waste of money.,37,5.0,2021,06,June,11
Doesn’t work,2,"Sleek,  nice and holds charge for a long time.  Definitely recommend.",11,1.0,2021,06,June,11
So cool,2,Love it!,2,5.0,2021,06,June,10
Great rechargeable wireless mouse!,4,"Easy, light, inexpensive , quiet and perfect for my new Mac laptop !!",13,5.0,2021,06,June,10
Lights up easy to find,5,"I read the reviews and ordered two.  One for home, one for office.  They both worked great for about 2.5 weeks.  I started having trouble with the charge not lasting.  And then by the time my return window expired, they were both worthless.  I can still plug in and the lights are pretty, perhaps a very weak night light?  That is what the star is for, the pretty lights.",69,4.0,2021,06,June,10
Cool Mouse but doesn't work smoothly,6,"When I received this item it was thin, which is okay but it was also chipped off on the left side. Then, I simple drop and the mouse damn near shattered! And to stop it off, sometimes the cursor goes everywhere, which can be annoying when you’re working on particular items. I love it for the lights and how compact it is. Handle this item with care!",67,2.0,2021,06,June,10
"Easy to use, and quiet clicking",6,"I actually really love this mouse, its slim and quiet.  The multicolored led lights stopped working after 4 days, but it does not affect the quality of it..just a bummer they dont work anymore.",34,5.0,2021,06,June,10
Great product,2,"Low profile, feels good in the hand, responsive",8,5.0,2021,06,June,09
I really like the mouse itself but not high quality,10,Constantly had to charge. Cool light effects came at a cost. I ended up going to target and buying a $5 one that works much better and is battery operated.,30,2.0,2021,06,June,09
Great Mouse,2,Looks great. Comfortable in my hand,6,5.0,2021,06,June,07
Nice rechargeable wireless mouse,4,Didnt last long,3,5.0,2021,06,June,07
Colorful and sleek!,3,"Mouse works, LGB died almost immediately. The only color actively working on this mouse is the red led and the blue when charging. When the mouse is left idle for a minute or two, it seems to desync and takes a minute to ""wake up"". It gets in the way more often than not. Otherwise, okay product.",57,5.0,2021,06,June,09
Small things are great,4,The USB broke off in my computer and I had trouble removing it. I finally got it out with finger nail clippers. I was happy with it until this happened.,30,5.0,2021,06,June,09
works fine ...cool looking,4,"The usb charging port was bent & I had to bend back before I could even plug it in to use.  Amazon needs to start labeling the country of origin, I don’t want to support a country that suppresses its people & destroyed a democracy in Hong Kong.  Made in China 🇨🇳 junk.",53,4.0,2021,06,June,08
Top of the line.,4,"At first I loved this mouse, it worked great and the battery lasted a long time. But I have bought 2 of these now, and the first one was faulty and this second one has only worked for about 2 months  and now will not connect! This product would be fantastic if it  worked longer that 2 months. But for the price, it's not terrible.",65,5.0,2021,06,June,08
Replacement mouse has also quit working,6,"....and differently from the Alienware, I saved about 90 dollars.Love the fact you can switch the LEDs off to save battery, also good battery is rechargeable (although in about 3 weeks I never had to charge it yet) good quality and fun to use.Also awfully cheap, which is always a plus!Not sure if is a good match for gaming, I've used it in the new MS flight simulator and I must say the response was fine...Not sure though if it would be fast enough for the ""kill 'em all"" gamesTotally recommended.",91,1.0,2021,06,June,08
Great for price,3,"Okay, here we go..  I was really excited to get this and try it out. I want to note that I wasn't expecting much since it is pretty inexpensive; however, my excitement didn't last long. The dpi will not change on the one I got, so I changed my mouse settings on my PC. This very, VERY minimally helped. -I couldn't help but laugh while doing this because that curser is sliiiiiiiic......ccccck!For some, this may fit comfortably in their hand, but not mine. Also, it goes to ""sleep"" QUICKLY - as in 5.6 seconds quick. Yes, I timed it.Unfortunately, I'll have to try to return this since I won't use it... ever. By ""try to return it,"" I mean try to actually remember to take it to the post office (or wherever I need to take it) because that never actually happens.In closing, if you have small hands, you're looking for a super slick (meaning super fast) mouse that you may or may not be able to change the dpi, you'll only use it once... maybe twice a year, and you're good at taking your returns where they need to go to get returned, then go for it! Otherwise, maybe look into a different one. Also, I gave 2 stars since is was inexpensive.",214,5.0,2021,06,June,08
Don't waste your money,4,This was a great mouse for schoolwork and better then using a battery mouse,14,1.0,2021,06,June,08
Perfect for work use,4,I really like this mouse. Super easy to connect and the charge lasts forever. I swear I charge it once every 1.5 weeks and I leave it on by accident all the time but the sleep mode is great. I recommend!,41,5.0,2021,06,June,08
Great Value,2,I honestly got this product not so long ago and I can’t really speak about the durability but I wasn’t disappointed with my purchase. The battery last for a very long time and the light it just beautiful.,38,5.0,2021,06,June,08
"Nice when it works, but only works intermittently",8,Works excellent. I prefer this mouse over the apple one.,10,2.0,2021,06,June,08
Great for work,3,"Perfect! Just what I needed. Love that I can use with my Mac and PC. Mouse is smooth, fast, and accurate.",21,5.0,2021,06,June,08
"The USB dingle came apart after about 10 minutes. Put it in, removed it, fell apart.",16," Pretty and sleek. I just opened it, says to charge for 2 hours with USB cable in box.... Umm what cable? Luckily I have plenty of chargers so once I use it, I shall update review.Update, works as it should, love the color changing. No complaint.",46,1.0,2021,06,June,08
Perfect in every way,4,Works very well. Best part is charging the mouse through power chord rather than batteries.,15,5.0,2021,06,June,08
Thank you,2,"Garbage, bought my niece a new HP for college, plugging the usb in laptop mouse cause the laptop not to work, mouse moves really slow or don’t move at all, thinking it was the laptop, took the laptop back got a brand new one same issue, but when I took the Ian out and used my store bough (Best Buy) mouse works perfect no problems. Be careful with this mouse and plugging it into your laptops.",76,5.0,2021,06,June,08
Great item,2,"Cord gets super hot when trying to charge using my lap top, and not charging",15,5.0,2021,06,June,08
Fun little mouse,3,Mouse wheel is already squeaking when rolled after barely 3 months of use.,13,5.0,2021,06,June,08
Beautifully lit.,2,"For work , kids love the colors",7,5.0,2021,06,June,08
Must buy!,2,Excellent thin size. I prefer this new wireless for its thinness and rechargeability.,13,5.0,2021,06,June,07
Cheap and fun mouse,4,"Battery dies very quickly. Not impressed. Sellers keep harassing me to delete my review! No way, scammers!Buy the below mouse instead. It works great!WisFox 2.4G Wireless Mouse for Laptop, Ergonomic ... https://www.amazon.com/dp/B07Y1KKFBH/ref=cm_sw_r_sms_api_glt_fabc_4GP5QM8PZ805Q7RQZ7QW?_encoding=UTF8&psc=1",32,3.0,2021,06,June,07
Quiet as a mouse!,4,Center scroll wheel click functionality very spotty after 4 mo of use. Now wheel won’t scroll at all. Disappointing.,19,4.0,2021,06,June,07
LED WIRELESS MOUSE,3,"I love the feel of this mouse. It is comfortable, easy to set up, rechargeable, wireless and the lights are so pretty! Fast shipping and quality packaging. Would highly recommend.",30,3.0,2021,06,June,07
Stopped working after 2 months,5,"Love it, great value",4,2.0,2021,06,June,07
Comfortable to use,3,"I don't use it for gaming that's why I give it three stars for that, haven't used sleep mode and don't plan on it so I gave it three stars not using that either. The three stars for ergonomics is accurate because it could be a little bit taller and we both have tiny hands, will be small for someone with large hands for sure. The colors are nice, Price is Right oh, and we like how it changes colors. I would buy again, adapter that comes with are very convenient, and worth the money I paid just for the adapters.",101,5.0,2021,06,June,07
Easy 1 2 e,4,Functional mouse but it is hard to click with fingers - extra effort needed which is not good.  I probably won’t buy this again.,24,5.0,2021,06,June,07
Great mouse,2,excelente,1,5.0,2021,06,June,07
Great purchase!,2,"Fun mouse for my office! I enjoy it and it’s fun to watch the colors change. A coworker liked it also an plans to purchase one also. I sent her the information. Highly recommend, thank you.",36,5.0,2021,06,June,06
Read instructions-avoid electrocution,3,This mouse is awesome. The lights are fun and I have owned it 2 weeks and only charged it once and I use it daily,25,3.0,2021,06,June,06
Great Mouse!,2,Inexpensive!! Love the changing of colored lights,7,5.0,2021,06,June,06
So cute,2,"I really liked this mouse, but the battery runs out every few days. I wish the lights would automatically turn off after not being used for a few minutes.",29,5.0,2021,06,June,06
Not enough charge,3,"Great product so far. Cool lights. Also, not battery operated, charged with usb cord.",14,1.0,2021,06,June,05
Too Easy To Break,4,Good mouse for the price and the buttons do not make noise so it feels nice when clicking which is a win for me,24,1.0,2021,06,June,05
Works great,2,Yes,1,5.0,2021,06,June,05
Stopped working.,2,It is super comfy and I love the lights around it. Small enough for my hands.Highly recommend this mouse.,19,2.0,2021,06,June,05
Just an amazing little mouse!,5,Good mouse.  Holds good charge. Perfect for gaming.,8,5.0,2021,06,June,05
Nice compact size but squeaks,5,I really needed a mouse because it is so much easier when working from my laptop. I searched on Amazon and came across this vibrant mouse. I fell in love and decided to buy it. It was the best decision because this mouse is fantastic and works perfectly. I love the color variations and the sleek look. It is easy to setup/use and also easy to charge. It is also wireless which makes it even better.,76,3.0,2021,06,June,05
Handy mouse,2,PRODUCT IS EXTREMLY CHEAP. LOOKS LIKE SOMETHING FROM FIVE BELOW OR WISH. YOU CAN SEE RIGHT THROUGH IT AND IT DIES REALLY FAST. IM SAD I MISSED THE RETURN WINDOW BUT I WILL BE BUYING A NEW PRODUCT,38,5.0,2021,06,June,05
Easy and functional,3,"This mouse is light and fits in my hand well.  It's fun to watch the colors slowly change.  However, it does not stayed charged long at all and cannot be used while it is charging.",35,5.0,2021,06,June,05
Mouse,1,Works great charges fast with cool lighting,7,4.0,2021,06,June,05
Highly Satisfied,2,Mouse is really good for the price. smooth and easy to use. Also the RBG lighting looks perfect with my setup!,21,5.0,2021,06,June,04
Defective regardless of surface.  Disappointed.  No way to contact seller.,10,"A well-engineered mouse with long battery life, good design, and cutting-edge wireless connectivity. Very easy to set up and use. Recommended!",21,1.0,2021,06,June,04
Stopped Working After a Week,5,"This is a very good, sleek and easy to use mouse, I really like the colored lights, the charge lasts a long time. I have no cons and I would buy again. I use this wireless mouse with my Dell 5490 All In One.",44,1.0,2021,06,June,04
Love it,2,I use a laptop everyday at work and this was a life saver. Very comfortable reliable wireless mouse.,18,5.0,2021,06,June,04
I love it’,3,Love this mouse and it stays charged for quite awhile,10,5.0,2021,06,June,04
No batteries,2,"I bought this because of the lights and it looked cool, but it does not have a battery.  It needs to be plugged in to charge.  Unless you babysit it by always turning it off when you are done using it, the charge dies after 2 days and then you have a dead mouse, or one that is now 'wired' as it charges.  Too high maintenance for a mouse.",69,5.0,2021,06,June,04
wrong shape,2,I liked using this mouse but it needed charged a lot more than anticipated. It looks good and worked good but overall was a little too cheaply made and it didn’t last long. It fell (thanks to my small children) and cracked right open. I only got to use it a couple of months.,54,3.0,2021,06,June,04
LED MOUSE,2,"Very nice smooth feel, fun LED shifting color. Love the silent click feature.",13,5.0,2021,06,June,03
Already on my second one,5,"Replaced my boring mouse with this one, wanted something rgb and rechargeable. Love it so far!!!",16,1.0,2021,06,June,03
Worked great for 2 weeks,5,Bought this for work and three hours after turning it on the mouse wheel broke and became unusable.,18,2.0,2021,06,June,03
